,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
1,0.5016099975898515,0.9011685550241808,0.6965821463045816,0.7826077195712627,0.921472405022407,0.7237209084669619
2,0.5891942151540843,,0.7670681949700077,0.8050335096289716,0.9807311375289494,0.8782222279315418
3,0.772964923162751,,0.8359956605091654,0.8333361777980052,0.9770049499802418,0.9513706343584416
5,0.8215655688868171,,0.890496092990138,0.9033274119531134,0.9759412119499328,0.9914637309344404
10,0.8600344455496056,,0.8958466227946223,0.9652974698333816,0.9764645628638928,0.9994652406417112
20,0.854154937073101,,0.8872874450834803,0.9583340368030908,0.966876025383636,1.0
30,0.8456215430578548,,0.8627311509866317,0.9508531253020333,0.9706022741036266,1.0
40,0.836547700754976,,0.8424186146661821,0.9460402604917928,0.9839656914740691,1.0
50,0.8312057655157901,,0.8370795850629513,0.9263024589632446,0.985026615625348,1.0
N. Clases - 1,0.5016099975898515,0.9011685550241808,0.6965821463045816,0.7826077195712627,0.921472405022407,0.7237209084669619
Dim. máxima,0.8317405248740789,,0.8317405248740789,0.909724796513726,0.9823556938842174,1.0
