,Euclidean,LDA,LLDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML,GMML
appendicitis,0.8428700074654722,0.8428590425531916,0.8501619074281448,0.8533307670772675,0.8490980776409108,0.8700522583053379,0.8407647443075774,0.8659077547592385,0.8585169372900336,0.8502610582306831,0.8669715845464726,0.8480897723030981
balance,0.8049738227671792,0.8885208277634122,0.8259526234523437,0.8986691758393075,0.8286273414049445,0.9592845016263613,0.8202706451146741,0.9182263618135816,0.8947507992208475,0.8816059140444205,0.8874759105801807,0.8268470103790941
banana,0.8543978508210501,0.6504225290210578,0.8545047603874236,0.8536646467754077,0.8550267823297055,0.8553411382078089,0.8574373568175451,0.8535599347335227,0.6718994852298885,0.6282005021343456,0.6268432011339227,0.8542951165512049
bupa,0.62318742868997,0.6338201431386785,0.6409034332538118,0.646671507105072,0.6660149362099367,0.6943688414064931,0.6099595477647547,0.6363976765895654,0.599345503578467,0.5716533554610518,0.5826252463437402,0.6370324655118764
cleveland,0.5570905590609685,0.5694297556618273,0.5492573245493697,0.54881703351274,0.5626820877438519,0.6804253378583283,0.5780163411721901,0.5518229553881124,0.5896147753139932,0.5978394904923888,0.5784274199933508,0.5574398084996102
digits,0.9878814343502418,0.9769375423870136,0.9884367194105388,0.9798416309158438,0.9869553185453442,0.9980835142673721,0.9993200707045624,0.9264847235692504,0.8269335140869634,0.9734773635724604,0.979719527042648,0.9887469699328924
glass,0.6759954001409563,0.6235873509417327,0.6816521136936313,0.6453720957036742,0.7092170562146151,0.7065673956701759,0.67805697498113,0.6495437696340881,0.6407301370542847,0.6319325027050136,0.6242128603493646,0.6869202661769945
hepatitis,0.8236869466417991,0.9402909083113598,0.8737700173644608,0.9002392972752803,0.8821239843934229,0.9569396209831283,0.9514030913027632,0.9139379274122664,0.9125479666430852,0.9250305485883338,0.9458084121165348,0.8419185585353828
ionosphere,0.8569176666926538,0.883498183125025,0.8686256179054566,0.8771560091246231,0.8752692543428477,0.9534715907686396,0.9281338668918032,0.8898363703319181,0.890449252682212,0.9053418342672824,0.8907807396674545,0.8816024374583653
iris,0.9533333333333334,0.9681481481481482,0.9614814814814816,0.9703703703703702,0.9585185185185184,0.9755555555555556,0.948148148148148,0.9703703703703702,0.9585185185185184,0.9688888888888888,0.9807407407407408,0.9511111111111112
