,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
1,0.4989104171025121,0.90650192628371,0.7499899373239032,0.8488415076519157,0.9326938793237389,0.6460363455296638
2,0.6099959993980745,,0.7670794199004866,0.8600543568023079,0.9754149554000172,0.8947428481594173
3,0.7462638109464789,,0.8087571891550654,0.8664401494047423,0.965792070244208,0.9300258632185636
5,0.7900458723453192,,0.8632716604455473,0.8942079970442036,0.9668730891620392,0.9887699311333692
10,0.8242623354951265,,0.8755369615244863,0.9417992248374988,0.9545735933357558,0.9898509194655588
20,0.7954279665319676,,0.8472430102633179,0.9337692398978684,0.949800703959128,0.9951928241191028
30,0.7943669812094052,,0.8183799213826667,0.9311096654297832,0.9476416941019872,0.9941261498671972
40,0.7922279437762503,,0.8082479688075394,0.8985088582135294,0.953529827729432,0.9941261498671972
50,0.7895512413488514,,0.7922165047462799,0.8894264519309939,0.9513735399943968,0.9946580647608142
N. Clases - 1,0.4989104171025121,0.90650192628371,0.7499899373239032,0.8488415076519157,0.9326938793237389,0.6460363455296638
Dim. máxima,0.7874064538150695,,0.7874064538150695,0.8723397526477991,0.9460260075827924,0.9941233054025254
